ID;Data;Lloc;Grau_Perill;Tipus_Desencadenant;Origen;Mida;Membres;Arrossegats;Ferits;Morts;Activitat;lat;long
428;08/05/2024;Pique Longue du Vignemale;2;Placa (PL);Accidental;1;2;2;0;0;Esquí de muntanya;42.773469;-0.145678
411;03/05/2024;Aneto;3;Placa (PL);Accidental;2;Desconegut;1;0;0;Esquí de muntanya;42.635868;0.657636
427;28/03/2024;Colouir N Pic de Font Freda;3;Placa (PL);Accidental;Desconegut;2;1;1;0;Esquí de muntanya;42.538899;1.793667
409;25/03/2024;Tuca de Literola;3;Placa (PL);Accidental;2;2;1;1;0;Esquí de muntanya;42.67783;0.561747
418;24/03/2024;Torrent de la Balma;2;Placa (PL);Natural;1;1;1;0;1;Excursionisme;42.385087440481556;2.1907313902112944
406;10/03/2024;Pic de la Mine;3;Placa (PL);Accidental;2,5;4;3;0;0;Esquí de muntanya;42.531146;1.765743
416;09/03/2024;Astún. Pastores;3;Placa (PL);Accidental;2;3;3;0;0;Esquí de pista;42.803318;-0.507407
408;05/03/2024;Pic de l'Estanyó;3;Placa (PL);Accidental;2.5;13;5;0;0;Esquí de muntanya;42.611380192638954;1.5867308650825729
405;28/02/2024;Pic du Midi;4;Placa (PL);Accidental;2;1;1;1;0;Taula de muntanya;42.933397;0.134231
413;28/02/2024;Astún. Llanos del Sol;3;Placa (PL);Accidental;2;2;1;0;0;Esquí de pista;42.816933;-0.50197
415;28/02/2024;Astún. Llanos del Sol;3;Placa (PL);Accidental;2;3;3;0;0;Esquí de pista;42.816933;-0.50197
417;28/02/2024;Arcalís;3;Placa (PL);Accidental;2;2;1;1;0;Esquí fora pista;42.627328115593585;1.488317089986704
402;11/02/2024;Tuc Gran de Sendrosa;2;Placa (PL);Accidental;1;2;1;1;0;Esquí de muntanya;42.62328450255927;0.9454825350702568
401;13/01/2024;Pico Aspe;3;Placa (PL);Accidental;1;2;2;0;1;Alpinisme;42.763861;-0.56511
400;09/01/2024;Baser Negre;2;Placa (PL);Accidental;1.5;2;1;0;0;Taula de muntanya;42.63105397222711;1.474978801074456
399;08/01/2024;Malh Blanc de Tredòs;3;Placa (PL);Accidental;2;5;1;1;0;Esquí de muntanya;42.65654133722002;0.9458069092514921
412;06/01/2024;Astún. Malacara;2;Placa (PL);Desconegut;1;2;2;0;0;Esquí de pista;42.808845;-0.486794
398;07/12/2023;Refugi Sarradets;2;Placa (PL);Accidental;1.5;1;1;0;0;Esquí de muntanya;42.70060440808085;-0.05046844482421876
396;03/12/2023;Ref Pòrt de Vénasque;2;Placa (PL);Desconegut;1,5;2;2;0;0;Raquetes;42.70436856725291;0.6474289009622282
397;03/12/2023;Midi de Bigorra;2;Puntual (PU);Accidental;2;5;1;1;0;Esquí de muntanya;42.932738;0.130613
